Date,Title,Link,Source,% Change,hits
2024-12-20 06:02:00,Tesla's 2024 deliveries growth might hinge on Musk's unorthodox Cybertruck,https://finance.yahoo.com/news/teslas-2024-deliveries-growth-might-110237921.html,Reuters,-3.46,
2024-12-20 17:24:00,House Democrat says Republicans protecting Elon Musk's Chinese investments,https://finance.yahoo.com/news/house-democrat-says-republicans-protecting-222421002.html,Reuters,-3.46,
2024-12-21 08:00:00,Musks Trump Trade Makes Tesla a Winner With $570 Billion Rally,https://finance.yahoo.com/news/musk-trump-trade-makes-tesla-130007582.html,Bloomberg,,
2024-12-23 08:41:00,Trump Efficiency Co-Chief Elon Musk Calls Fed Overstaffed,https://finance.yahoo.com/news/elon-musk-makes-overstaffed-fed-090844527.html,Bloomberg,2.27,
2024-12-23 14:08:00,"Tesla, Meta and Broadcom Weights Shrink in Nasdaq 100 Rebalance",https://finance.yahoo.com/news/tesla-meta-broadcom-weights-shrink-190831294.html,Bloomberg,2.27,
2024-12-27 06:05:00,Ark's Cathie Wood calls for tax clarity as she rides 'Trump bump',https://finance.yahoo.com/news/arks-cathie-wood-calls-tax-110525853.html,Reuters,-4.95,
2024-12-30 23:20:00,Tesla's Shanghai energy storage gigafactory begins trial production,https://finance.yahoo.com/news/teslas-shanghai-energy-storage-gigafactory-042020395.html,Reuters,-3.3,
2024-12-31 04:32:00,"Tesla to fix software for 77,650 China-made vehicles, says market regulator",https://finance.yahoo.com/news/tesla-fix-software-77-650-093202089.html,Reuters,-3.25,
2024-12-31 07:50:00,Tesla stock surge runs up against a potential annual sales drop,https://finance.yahoo.com/news/tesla-stock-surge-runs-against-125059167.html,Bloomberg,-3.25,
2025-01-01 16:12:00,"Tesla Cybertruck fire in Las Vegas leaves one dead, others injured",https://finance.yahoo.com/m/09317afb-70aa-325d-8eff-fbf5fd1d2008/tesla-cybertruck-fire-in-las.html,Reuters,,
2025-01-01 16:12:00,"Tesla Cybertruck explodes outside Trump Las Vegas hotel, killing driver",https://finance.yahoo.com/m/09317afb-70aa-325d-8eff-fbf5fd1d2008/tesla-cybertruck-explodes.html,Reuters,,
2025-01-01 16:12:00,Musk says Tesla investigating Cybertruck fire in Las Vegas,https://finance.yahoo.com/news/musk-says-tesla-investigating-cybertruck-211228819.html,Reuters,,
2025-01-02 06:03:00,"As Musk gains influence, questions hover over US probes into his empire",https://finance.yahoo.com/news/musk-gains-influence-questions-hover-110300778.html,Reuters,-6.08,34100.0
2025-01-02 09:07:00,Tesla annual deliveries fall for first time as competition hurts demand,https://finance.yahoo.com/news/teslas-posts-first-fall-annual-140745827.html,Reuters,-6.08,9690.0
2025-01-02 10:53:00,Teslas Annual EV Sales Drop for First Time in Over a Decade,https://finance.yahoo.com/news/tesla-annual-ev-sales-decline-140709554.html,Bloomberg,-6.08,40.0
2025-01-02 12:07:00,"Musk donated $108 million in Tesla shares to unnamed charities, filing shows",https://finance.yahoo.com/news/musk-donated-108-million-tesla-170729369.html,Reuters,-6.08,4510.0
2025-01-02 21:49:00,"Tesla's China sales rise to record high in 2024, bucking global decline",https://finance.yahoo.com/news/teslas-china-sales-rise-record-024923151.html,Reuters,-6.08,9400.0
2025-01-03 04:52:00,Teslas Annual EV Sales Drop for First Time in Over a Decade,https://finance.yahoo.com/news/tesla-annual-ev-sales-decline-140709554.html,Bloomberg,8.22,40.0
2025-01-03 06:07:00,"2024 US new-car sales rise to five-year high, but Tesla and Stellantis lag",https://finance.yahoo.com/news/consumers-boosted-2024-u-car-110704536.html,Reuters,8.22,328.0
2025-01-06 23:16:00,Tesla supplier Panasonic Energy says cutting China supply for US business a 'No.1 objective',https://finance.yahoo.com/news/tesla-supplier-panasonic-energy-cutting-041654348.html,Reuters,0.15,
2025-01-07 06:00:00,Musks Massive Tesla Lithium Plant Hunts for Water in Drought-Hit Texas,https://finance.yahoo.com/news/musk-massive-tesla-lithium-plant-110009148.html,Bloomberg,-4.06,
2025-01-07 06:55:00,"Automakers to pool CO2 emissions with Tesla, Mercedes to comply with EU 2025 rules",https://finance.yahoo.com/news/stellantis-toyota-ford-mazda-subaru-115510249.html,Reuters,-4.06,
2025-01-07 08:52:00,Tesla seeks Sweden court order in protracted labour union conflict,https://finance.yahoo.com/news/tesla-seeks-sweden-court-order-135255158.html,Reuters,-4.06,
2025-01-07 18:00:00,How Washington's tag on China's CATL could affect Tesla,https://finance.yahoo.com/news/washingtons-tag-chinas-catl-could-230019404.html,Reuters,-4.06,
2025-01-07 18:32:00,US Blacklist of Chinas Tech Giants Risks Faster Decoupling,https://finance.yahoo.com/m/28a2bf67-ec2b-3751-b282-927f893d8638/us-blacklist-of-china%E2%80%99s-tech.html,Bloomberg,-4.06,
