Date,Title,Link,Source
2024-08-27 20:21:00,BofA to Lead $1.83 Billion Leveraged Loan for Carrier Unit Deal,https://finance.yahoo.com/news/bofa-lead-1-83-billion-002134338.html,Bloomberg
2024-07-25 08:00:00,"Carrier's profit beats estimates on price hikes, demand for cooling systems",https://finance.yahoo.com/news/carriers-profit-beats-estimates-price-120029054.html,Reuters
