Ticker,Company,Sector,Industry,Country,Price,Market Cap (billions)
UBER,Uber Technologies Inc,Technology,Software - Application,USA,65.7,138.35
UDR,UDR Inc,Real Estate,REIT - Residential,USA,40.98,13.52
UHAL,U-Haul Holding Company,Industrials,Rental & Leasing Services,USA,67.64,12.44
UHAL-B,U-Haul Holding Company,Industrials,Rental & Leasing Services,USA,62.46,12.34
UHS,"Universal Health Services, Inc",Healthcare,Medical Care Facilities,USA,185.74,10.91
UI,Ubiquiti Inc,Technology,Communication Equipment,USA,362.43,21.92
ULTA,Ulta Beauty Inc,Consumer Cyclical,Specialty Retail,USA,403.94,18.73
UNH,Unitedhealth Group Inc,Healthcare,Healthcare Plans,USA,541.14,498.0
UNM,Unum Group,Financial,Insurance - Life,USA,71.88,13.13
UNP,Union Pacific Corp,Industrials,Railroads,USA,226.76,137.47
UPS,"United Parcel Service, Inc",Industrials,Integrated Freight & Logistics,USA,125.01,106.68
URI,"United Rentals, Inc",Industrials,Rental & Leasing Services,USA,689.15,45.22
USB,U.S. Bancorp,Financial,Banks - Regional,USA,48.39,75.49
USFD,US Foods Holding Corp,Consumer Defensive,Food Distribution,USA,66.36,15.46
UTHR,United Therapeutics Corp,Healthcare,Biotechnology,USA,362.88,16.2
V,Visa Inc,Financial,Credit Services,USA,306.92,601.88
VEEV,Veeva Systems Inc,Healthcare,Health Information Services,USA,212.84,34.55
VICI,VICI Properties Inc,Real Estate,REIT - Diversified,USA,28.73,30.29
VLO,Valero Energy Corp,Energy,Oil & Gas Refining & Marketing,USA,133.35,42.22
VLTO,Veralto Corp,Industrials,Pollution & Treatment Controls,USA,101.14,25.01
VMC,Vulcan Materials Co,Basic Materials,Building Materials,USA,256.03,33.81
VRSK,Verisk Analytics Inc,Industrials,Consulting Services,USA,275.47,38.9
VRSN,Verisign Inc,Technology,Software - Infrastructure,USA,209.56,20.14
VRT,Vertiv Holdings Co,Industrials,Electrical Equipment & Parts,USA,124.01,46.55
VRTX,"Vertex Pharmaceuticals, Inc",Healthcare,Biotechnology,USA,413.37,106.45
VST,Vistra Corp,Utilities,Utilities - Independent Power Producers,USA,162.13,55.16
VTR,Ventas Inc,Real Estate,REIT - Healthcare Facilities,USA,58.0,24.99
VTRS,Viatris Inc,Healthcare,Drug Manufacturers - Specialty & Generic,USA,11.8,14.08
VZ,Verizon Communications Inc,Communication Services,Telecom Services,USA,38.12,160.47
WAB,Westinghouse Air Brake Technologies Corp,Industrials,Railroads,USA,191.84,32.98
WAT,Waters Corp,Healthcare,Diagnostics & Research,USA,399.87,23.74
WBA,Walgreens Boots Alliance Inc,Healthcare,Pharmaceutical Retailers,USA,11.9,10.28
WBD,Warner Bros. Discovery Inc,Communication Services,Entertainment,USA,9.84,24.14
WDAY,Workday Inc,Technology,Software - Application,USA,246.0,65.68
WDC,Western Digital Corp,Technology,Computer Hardware,USA,62.02,21.44
WEC,WEC Energy Group Inc,Utilities,Utilities - Regulated Electric,USA,93.89,29.7
WELL,Welltower Inc,Real Estate,REIT - Healthcare Facilities,USA,125.72,78.28
WES,Western Midstream Partners LP,Energy,Oil & Gas Midstream,USA,39.96,15.21
WFC,Wells Fargo & Co,Financial,Banks - Diversified,USA,70.53,234.83
WLK,Westlake Corporation,Basic Materials,Specialty Chemicals,USA,113.41,14.6
WM,"Waste Management, Inc",Industrials,Waste Management,USA,207.53,83.3
WMB,Williams Cos Inc,Energy,Oil & Gas Midstream,USA,56.03,68.3
WMG,Warner Music Group Corp,Communication Services,Entertainment,USA,29.56,15.31
WMT,Walmart Inc,Consumer Defensive,Discount Stores,USA,91.53,735.3
WPC,W. P. Carey Inc,Real Estate,REIT - Diversified,USA,53.5,11.71
WRB,W.R. Berkley Corp,Financial,Insurance - Property & Casualty,USA,57.3,21.84
WSM,"Williams-Sonoma, Inc",Consumer Cyclical,Specialty Retail,USA,195.26,24.04
WSO,Watsco Inc,Industrials,Industrial Distribution,USA,476.57,19.25
WST,"West Pharmaceutical Services, Inc",Healthcare,Medical Instruments & Supplies,USA,339.6,24.59
WWD,Woodward Inc,Industrials,Aerospace & Defense,USA,180.1,10.7
WY,Weyerhaeuser Co,Real Estate,REIT - Specialty,USA,28.66,20.82
XEL,"Xcel Energy, Inc",Utilities,Utilities - Regulated Electric,USA,63.62,36.53
XOM,Exxon Mobil Corp,Energy,Oil & Gas Integrated,USA,109.29,480.34
XPO,XPO Inc,Industrials,Trucking,USA,135.67,15.79
XYL,Xylem Inc,Industrials,Specialty Industrial Machinery,USA,115.64,28.09
YUM,Yum Brands Inc,Consumer Cyclical,Restaurants,USA,123.73,34.53
Z,Zillow Group Inc,Communication Services,Internet Content & Information,USA,70.83,16.39
ZBH,Zimmer Biomet Holdings Inc,Healthcare,Medical Devices,USA,105.49,21.0
ZBRA,Zebra Technologies Corp,Technology,Communication Equipment,USA,381.69,19.69
ZG,Zillow Group Inc,Communication Services,Internet Content & Information,USA,68.11,16.42
ZM,Zoom Communications Inc,Technology,Software - Application,USA,78.82,24.16
ZS,Zscaler Inc,Technology,Software - Infrastructure,USA,186.49,28.61
ZTS,Zoetis Inc,Healthcare,Drug Manufacturers - Specialty & Generic,USA,166.32,75.04
